,accuracy,precision,recall,f1,kapppa,set,modelo
0,0.7727272727272727,0.6923076923076923,0.6545454545454545,0.6728971962616823,0.4989775051124745,test,Random Forest_1
1,0.8110749185667753,0.7593582887700535,0.6666666666666666,0.71,0.5707794477455435,train,Random Forest_1
0,0.7727272727272727,0.7,0.6363636363636364,0.6666666666666666,0.4948453608247423,test,Random Forest_3
1,0.7931596091205212,0.75,0.6056338028169014,0.67012987012987,0.521953432484459,train,Random Forest_3
0,0.746268656716418,0.7727272727272727,0.7285714285714285,0.75,0.4928762243989314,test,Regresión logistica Esta
1,0.7388059701492538,0.749003984063745,0.7094339622641509,0.7286821705426356,0.4772407451269976,train,Regresión logistica Esta
4,0.6688311688311688,0.5333333333333333,0.5818181818181818,0.5565217391304348,0.293069306930693,test,Decision tree Esta II
5,0.760586319218241,0.6633663366336634,0.6291079812206573,0.6457831325301205,0.4651631330070278,train,Decision tree Esta II
