,accuracy,precision,recall,f1,kapppa,set,modelo
0,0.746268656716418,0.7727272727272727,0.7285714285714285,0.75,0.4928762243989314,test,Regresión logistica Esta
1,0.7388059701492538,0.749003984063745,0.7094339622641509,0.7286821705426356,0.4772407451269976,train,Regresión logistica Esta
4,0.6688311688311688,0.5333333333333333,0.5818181818181818,0.5565217391304348,0.293069306930693,test,Decision tree Esta II
5,0.760586319218241,0.6633663366336634,0.6291079812206573,0.6457831325301205,0.46516313300702783,train,Decision tree Esta II
